Rank,Channel Name,Subscribers,Total Views,Total Videos,Category,Channel Type,Views Rank,Views Last 30 Days,Min Monthly Earnings,Max Monthly Earnings,Min Yearly Earnings,Max Yearly Earnings,Year,Month,Day,Month no.,Created Date
636,Kashvi Adlakha,15500000,12714141740,1525,Entertainment,Entertainment,300,139123000,34800,556500,417400,6700000,2017,Apr,9,4,09-Apr-17
651,Mazhavil Manorama,15300000,16545966132,87864,Entertainment,Entertainment,175,361483000,90400,1400000,1100000,17400000,2011,Oct,31,10,31-Oct-11
654,Niana Guerrero,15200000,1491452935,443,Entertainment,Entertainment,7153,9980000,2500,39900,29900,479000,2013,Apr,11,4,11-Apr-13
656,Sony Liv,15200000,7151683497,11099,Entertainment,Entertainment,794,210909000,52700,843600,632700,10100000,2014,May,2,5,02-May-14
658,Oyuncak Avï¿,15200000,8333387785,654,Entertainment,Entertainment,615,4427000,1100,17700,13300,212500,2014,Dec,29,12,29-Dec-14
675,Chapitosiki,15100000,13897932103,2717,Entertainment,Entertainment,256,713509000,178400,2900000,2100000,34200000,2020,Jan,24,1,24-Jan-20
682,Xpresstv,15000000,4008801873,724,Entertainment,Entertainment,1907,33880000,8500,135500,101600,1600000,2014,Nov,17,11,17-Nov-14
686,The Brown Siblings,15000000,8658553456,965,Entertainment,Entertainment,577,102357000,25600,409400,307100,4900000,2016,Oct,9,10,09-Oct-16
693,A2 Motivation By Arvind Arora,15000000,8932038210,3168,Entertainment,Entertainment,544,130731000,32700,522900,392200,6300000,2017,Apr,7,4,07-Apr-17
695,Mnctv Official,14900000,8074260978,66362,Entertainment,Entertainment,639,43581000,10900,174300,130700,2100000,2012,Nov,29,11,29-Nov-12
696,Erb,14900000,4033400167,86,Entertainment,Entertainment,1886,11043000,2800,44200,33100,530100,2006,Feb,8,2,08-Feb-06
716,Maha Fun Tv,14700000,1321380490,85,Entertainment,Entertainment,8317,4781000,1200,19100,14300,229500,2017,Sep,5,9,05-Sep-17
717,Canal Nostalgia,14700000,1506796393,554,Entertainment,Entertainment,325721,226420,57,906,679,10900,2010,Feb,19,2,19-Feb-10
